"50 Op","22663 Op","56572 Op","73403 Op","84193 Op","91978 Op","97991 Op","102850 Op","106903 Op","110363 Op","113372 Op","116026 Op","118396 Op","120532 Op","122473 Op","124251 Op","125887 Op","127403 Op","128812 Op","130129 Op","131363 Op","132524 Op","133620 Op","134656 Op"
"80.0","92.0","126.0","191.0","233.0","324.0","231.0","298.0","243.0","202.0","180.0","210.0","228.0","175.0","200.0","171.0","223.0","185.0","235.0","250.0","360.0","447.0","412.0","350.0"
"57.0","90.0","122.0","273.0","252.0","281.0","299.0","260.0","244.0","256.0","253.0","200.0","172.0","212.0","165.0","226.0","274.0","311.0","373.0","334.0","440.0","424.0","531.0","481.0"
"53.0","88.0","138.0","246.0","250.0","277.0","315.0","273.0","196.0","210.0","222.0","226.0","200.0","237.0","246.0","169.0","308.0","366.0","280.0","283.0","240.0","486.0","376.0","540.0"
"58.0","97.0","134.0","263.0","250.0","328.0","287.0","283.0","194.0","242.0","194.0","225.0","182.0","198.0","180.0","197.0","293.0","267.0","263.0","248.0","403.0","504.0","438.0","525.0"
"54.0","92.0","141.0","268.0","185.0","324.0","322.0","303.0","262.0","260.0","198.0","219.0","182.0","192.0","264.0","184.0","227.0","329.0","246.0","333.0","364.0","501.0","522.0","399.0"
"54.0","89.0","118.0","266.0","185.0","284.0","229.0","247.0","217.0","220.0","434.0","192.0","183.0","193.0","214.0","264.0","225.0","326.0","320.0","306.0","458.0","288.0","524.0","531.0"
"53.0","91.0","130.0","254.0","246.0","335.0","291.0","290.0","279.0","249.0","263.0","224.0","192.0","181.0","158.0","158.0","306.0","243.0","502.0","404.0","335.0","357.0","486.0","447.0"
"55.0","89.0","132.0","183.0","252.0","322.0","337.0","261.0","214.0","243.0","216.0","200.0","210.0","204.0","255.0","170.0","205.0","339.0","302.0","212.0","445.0","367.0","614.0","514.0"
"54.0","92.0","137.0","255.0","185.0","297.0","250.0","257.0","199.0","186.0","182.0","180.0","172.0","199.0","162.0","250.0","211.0","345.0","321.0","442.0","230.0","475.0","537.0","533.0"
"53.0","93.0","152.0","283.0","243.0","280.0","292.0","352.0","259.0","228.0","238.0","195.0","188.0","183.0","193.0","293.0","222.0","283.0","399.0","419.0","386.0","533.0","474.0","510.0"
"52.0","88.0","130.0","266.0","298.0","330.0","311.0","251.0","280.0","193.0","245.0","198.0","222.0","175.0","156.0","206.0","209.0","172.0","357.0","236.0","283.0","288.0","201.0","417.0"
"54.0","92.0","129.0","189.0","252.0","325.0","223.0","351.0","249.0","190.0","231.0","232.0","243.0","245.0","247.0","193.0","181.0","217.0","261.0","321.0","470.0","458.0","395.0","505.0"
"54.0","91.0","129.0","237.0","356.0","327.0","297.0","272.0","198.0","259.0","217.0","230.0","206.0","199.0","258.0","260.0","225.0","282.0","277.0","259.0","464.0","380.0","378.0","318.0"
"57.0","88.0","137.0","192.0","234.0","353.0","311.0","356.0","208.0","243.0","264.0","212.0","184.0","207.0","192.0","188.0","206.0","281.0","326.0","318.0","370.0","401.0","462.0","361.0"
"55.0","87.0","136.0","200.0","236.0","325.0","237.0","288.0","279.0","256.0","244.0","198.0","206.0","239.0","182.0","188.0","214.0","223.0","288.0","332.0","364.0","270.0","334.0","400.0"
