"50 Op","22663 Op","56572 Op","73403 Op","84193 Op","91978 Op","97991 Op","102850 Op","106903 Op","110363 Op","113372 Op","116026 Op","118396 Op","120532 Op","122473 Op","124251 Op","125887 Op","127403 Op","128812 Op","130129 Op","131363 Op","132524 Op","133620 Op","134656 Op"
"88.0","95.0","135.0","270.0","244.0","341.0","289.0","272.0","237.0","227.0","189.0","208.0","209.0","258.0","184.0","210.0","202.0","356.0","207.0","402.0","321.0","450.0","550.0","542.0"
"55.0","92.0","136.0","277.0","191.0","254.0","251.0","286.0","279.0","191.0","183.0","202.0","207.0","251.0","202.0","181.0","242.0","328.0","366.0","336.0","330.0","503.0","426.0","388.0"
"53.0","86.0","115.0","272.0","209.0","339.0","308.0","283.0","220.0","247.0","213.0","194.0","195.0","201.0","257.0","180.0","240.0","361.0","263.0","333.0","426.0","273.0","506.0","255.0"
"53.0","86.0","136.0","257.0","246.0","323.0","287.0","262.0","270.0","190.0","231.0","175.0","211.0","176.0","247.0","265.0","306.0","252.0","330.0","329.0","362.0","487.0","447.0","535.0"
"53.0","85.0","133.0","279.0","249.0","314.0","229.0","283.0","205.0","247.0","208.0","191.0","216.0","172.0","209.0","182.0","271.0","319.0","315.0","371.0","456.0","365.0","371.0","577.0"
"53.0","112.0","113.0","200.0","217.0","337.0","298.0","314.0","220.0","248.0","215.0","190.0","180.0","199.0","184.0","208.0","316.0","333.0","417.0","211.0","360.0","335.0","395.0","564.0"
"54.0","87.0","118.0","193.0","182.0","336.0","235.0","228.0","204.0","190.0","251.0","250.0","205.0","233.0","259.0","202.0","264.0","194.0","229.0","307.0","277.0","345.0","502.0","476.0"
"55.0","86.0","125.0","267.0","248.0","343.0","289.0","259.0","214.0","182.0","196.0","243.0","200.0","215.0","260.0","207.0","157.0","337.0","360.0","386.0","221.0","474.0","500.0","410.0"
"52.0","89.0","116.0","260.0","254.0","543.0","313.0","280.0","275.0","231.0","216.0","203.0","185.0","171.0","247.0","204.0","355.0","209.0","280.0","268.0","415.0","466.0","496.0","646.0"
"55.0","86.0","132.0","208.0","186.0","262.0","232.0","286.0","264.0","244.0","219.0","239.0","212.0","204.0","215.0","188.0","232.0","318.0","382.0","319.0","475.0","434.0","440.0","453.0"
"53.0","87.0","136.0","287.0","231.0","361.0","297.0","224.0","204.0","239.0","216.0","169.0","211.0","193.0","194.0","176.0","246.0","362.0","297.0","418.0","284.0","313.0","432.0","459.0"
"57.0","97.0","116.0","307.0","290.0","339.0","334.0","225.0","292.0","276.0","182.0","239.0","194.0","195.0","251.0","264.0","274.0","426.0","251.0","245.0","490.0","476.0","359.0","539.0"
"54.0","87.0","124.0","296.0","187.0","277.0","310.0","288.0","254.0","266.0","238.0","249.0","212.0","193.0","215.0","205.0","236.0","335.0","204.0","257.0","450.0","407.0","523.0","563.0"
"53.0","91.0","123.0","300.0","187.0","341.0","308.0","220.0","227.0","220.0","217.0","233.0","205.0","218.0","205.0","158.0","329.0","336.0","428.0","404.0","357.0","491.0","489.0","472.0"
"53.0","87.0","132.0","274.0","255.0","329.0","311.0","251.0","248.0","249.0","240.0","219.0","204.0","173.0","156.0","203.0","208.0","225.0","283.0","330.0","363.0","317.0","417.0","482.0"
"54.0","88.0","123.0","275.0","177.0","282.0","256.0","310.0","250.0","249.0","238.0","197.0","178.0","219.0","184.0","291.0","239.0","295.0","261.0","427.0","344.0","503.0","507.0","529.0"
"53.0","87.0","128.0","266.0","232.0","332.0","327.0","275.0","210.0","250.0","208.0","170.0","230.0","197.0","159.0","231.0","235.0","407.0","296.0","467.0","513.0","485.0","492.0","510.0"
"53.0","84.0","125.0","267.0","211.0","344.0","323.0","237.0","243.0","205.0","222.0","227.0","215.0","205.0","213.0","283.0","296.0","334.0","318.0","247.0","372.0","341.0","425.0","570.0"
"53.0","86.0","145.0","260.0","249.0","337.0","306.0","295.0","228.0","247.0","190.0","198.0","217.0","182.0","210.0","197.0","294.0","277.0","194.0","463.0","486.0","452.0","429.0","355.0"
"54.0","87.0","141.0","190.0","256.0","269.0","229.0","261.0","255.0","258.0","185.0","172.0","179.0","175.0","192.0","195.0","302.0","343.0","323.0","407.0","391.0","512.0","410.0","572.0"
"53.0","88.0","115.0","265.0","188.0","277.0","317.0","285.0","305.0","185.0","267.0","192.0","212.0","228.0","217.0","168.0","298.0","254.0","266.0","393.0","455.0","314.0","414.0","465.0"
"53.0","100.0","139.0","193.0","245.0","311.0","254.0","230.0","213.0","242.0","251.0","194.0","220.0","207.0","224.0","157.0","207.0","247.0","317.0","538.0","356.0","501.0","483.0","525.0"
"54.0","103.0","136.0","205.0","189.0","281.0","325.0","281.0","205.0","264.0","221.0","198.0","229.0","197.0","246.0","257.0","305.0","221.0","315.0","312.0","492.0","523.0","566.0","247.0"
"53.0","86.0","132.0","198.0","247.0","206.0","242.0","254.0","268.0","253.0","186.0","204.0","199.0","185.0","229.0","181.0","230.0","228.0","205.0","276.0","439.0","401.0","578.0","433.0"
"53.0","94.0","133.0","205.0","258.0","279.0","304.0","293.0","248.0","193.0","278.0","199.0","210.0","212.0","164.0","186.0","214.0","252.0","384.0","401.0","353.0","496.0","532.0","537.0"
"53.0","86.0","133.0","203.0","256.0","336.0","287.0","261.0","245.0","255.0","185.0","212.0","209.0","208.0","224.0","188.0","210.0","260.0","264.0","439.0","442.0","488.0","409.0","481.0"
"53.0","86.0","117.0","263.0","187.0","316.0","325.0","306.0","227.0","196.0","232.0","219.0","163.0","193.0","250.0","190.0","163.0","188.0","425.0","404.0","244.0","401.0","210.0","525.0"
"53.0","87.0","128.0","193.0","207.0","271.0","332.0","288.0","267.0","239.0","241.0","213.0","191.0","209.0","211.0","287.0","235.0","307.0","424.0","456.0","304.0","309.0","394.0","389.0"
"53.0","91.0","127.0","271.0","250.0","274.0","322.0","301.0","248.0","184.0","240.0","167.0","216.0","190.0","236.0","157.0","197.0","248.0","196.0","274.0","361.0","255.0","465.0","413.0"
"52.0","89.0","126.0","195.0","188.0","243.0","221.0","262.0","235.0","254.0","211.0","224.0","210.0","205.0","212.0","295.0","321.0","191.0","226.0","341.0","488.0","333.0","543.0","395.0"
