Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Fib/1,4.211586375180142e-8,4.123084294084592e-8,4.299575792371181e-8,2.896451291273777e-9,2.359079338636978e-9,3.6349707816391606e-9
Fib/2,1.5632085717068545e-7,1.538528207873401e-7,1.5933169487807622e-7,8.688195939436793e-9,7.25496170304801e-9,1.0937165600923774e-8
Fib/3,2.8354195855280887e-7,2.7787245690701935e-7,2.903281954272044e-7,2.0860477804904526e-8,1.6251185344789205e-8,2.7346226896919785e-8
Fib/4,5.49478670481388e-7,5.392164768796436e-7,5.600218311679296e-7,3.449860710222775e-8,2.9012314391660732e-8,4.2551389396182856e-8
Fib/5,9.510836933443617e-7,9.341574356796545e-7,9.713213153411964e-7,6.320605622299582e-8,5.376075119267943e-8,7.465239411712842e-8
Fib/6,1.6428763498077518e-6,1.620700781246826e-6,1.6702678251630386e-6,8.573343609908585e-8,6.842199498701731e-8,1.1969922279811312e-7
Fib/7,2.7792470776413856e-6,2.7066158835262334e-6,2.915132432791772e-6,3.3651089761542874e-7,2.209944194477493e-7,4.971509085760291e-7
Fib/8,4.542657844268237e-6,4.458940152699127e-6,4.6229711100856165e-6,2.7714309200652305e-7,2.316420340614744e-7,3.3062733494314075e-7
Fib/9,7.2993048032794306e-6,7.178596066471642e-6,7.414153896743565e-6,3.7729263085000786e-7,3.19171425692262e-7,4.5065379024577933e-7
Fib/10,1.2071082206516801e-5,1.1906073193845083e-5,1.2236947581799594e-5,5.532479972451234e-7,4.705338658512617e-7,6.773426631062155e-7
Fib/11,1.9516181824823597e-5,1.922145984566543e-5,1.9827505642780096e-5,1.0179725047281777e-6,8.334738470727921e-7,1.2429571166282586e-6
Fib/12,3.0868816821346465e-5,3.0177090830911385e-5,3.165758054164067e-5,2.540891235410797e-6,2.237873851853722e-6,3.281785222777258e-6
Fib/13,5.115621408099408e-5,5.004604523958166e-5,5.211028534229319e-5,3.3698633060665376e-6,2.908425000288672e-6,4.0630875117419045e-6
Fib/14,8.294415063072279e-5,8.132129309387404e-5,8.449332068699224e-5,5.538066197395112e-6,4.748081397920785e-6,6.323580860815255e-6
Fib/15,1.289935849631089e-4,1.2640075682685667e-4,1.3219932299503385e-4,9.67514262469913e-6,8.152541062913747e-6,1.1558159178710465e-5
Fib/16,2.1563471720772016e-4,2.1250725714300488e-4,2.2048966993610438e-4,1.3052342245225325e-5,9.727148240905693e-6,2.1381828226099757e-5
Fib/17,3.301054949347015e-4,3.2437205894778943e-4,3.386721486477661e-4,2.434136801029523e-5,1.890549663275205e-5,3.281856443486317e-5
Fib/18,5.675247212172394e-4,5.57559085584655e-4,5.800103260650236e-4,3.676938242792495e-5,3.1652433889087136e-5,4.3030258148308996e-5
Fib/19,8.667573843256456e-4,8.524466504227376e-4,8.835672223540562e-4,5.0438791305381016e-5,4.09007504196887e-5,6.398033006649502e-5
Fib/20,1.4983651856429947e-3,1.4787411845995494e-3,1.5175994357910152e-3,6.546117139476275e-5,5.3565782546807925e-5,8.131532042349927e-5
Fib/21,2.3838686668326992e-3,2.3404124604011127e-3,2.4269822486363626e-3,1.408265132922485e-4,1.1794011019243632e-4,1.7447204685798912e-4
Fib/22,3.71323983066539e-3,3.6506536053350414e-3,3.7806640372492475e-3,2.0086222719940664e-4,1.6815619242178744e-4,2.489506385442788e-4
Fib/23,5.98073359500604e-3,5.876261148815888e-3,6.10736721569782e-3,3.285773948391102e-4,2.588278058731398e-4,3.977619425262345e-4
Fib/24,1.0261632128381626e-2,1.0150935201205132e-2,1.0374186894205129e-2,3.16033072639271e-4,2.462706882566656e-4,4.451270090696351e-4
Fib/25,1.6166407583526613e-2,1.586091838539557e-2,1.656573091555612e-2,8.590802121752734e-4,6.869436385812842e-4,1.0904251061304249e-3
Fib/26,2.54703849836435e-2,2.506030668735598e-2,2.6085086241564685e-2,1.0904608362199148e-3,7.77871175005555e-4,1.6965122159264586e-3
Fib/27,4.092954732921071e-2,4.0570727213573334e-2,4.1276656398140585e-2,7.219177713688976e-4,5.880695632697665e-4,8.887009823387859e-4
Fib/28,6.429168749958385e-2,6.345533052579312e-2,6.504056860880972e-2,1.2931762380003534e-3,9.393405114399772e-4,1.6696098555562737e-3
Fib/29,0.10422643444689632,0.10322555243955783,0.10566626638355756,1.8366835563565474e-3,1.163655127883052e-3,2.661682030660554e-3
Fib/30,0.17770215852842478,0.17207907003758113,0.18277544846404836,7.297992453631161e-3,5.553776488316752e-3,8.949041558034665e-3
Fib/31,0.2877204782402604,0.28069420537004286,0.29217578217962165,7.3181942883262276e-3,3.7686700170096454e-3,1.028908371484714e-2
Fib/32,0.47205326475484016,0.46318909116684354,0.47729495880783274,8.051667856596424e-3,0.0,9.078880417514737e-3
Fib/33,0.7499189883961384,0.734106439445254,0.7608862903023557,1.6488072313970044e-2,0.0,1.8995924123515376e-2
Fib/34,1.1724628704182198,1.147261692164595,1.1877256924717294,2.3240307580411693e-2,0.0,2.6435983263561235e-2
Fib/35,1.9775446045860134,1.9232088747745621,2.0091422352126016,4.8896667265600366e-2,0.0,5.472870164404511e-2
