1 NoOp,2 NoOp,3 NoOp,4 NoOp,5 NoOp,6 NoOp,7 NoOp,8 NoOp,9 NoOp,10 NoOp,11 NoOp,12 NoOp,13 NoOp,14 NoOp,15 NoOp,16 NoOp,17 NoOp,18 NoOp,19 NoOp,20 NoOp,21 NoOp,22 NoOp,23 NoOp,24 NoOp,25 NoOp,26 NoOp,27 NoOp,28 NoOp,29 NoOp,30 NoOp,31 NoOp,32 NoOp,33 NoOp,34 NoOp,35 NoOp
81,53,58,53,52,54,52,52,54,56,54,55,56,56,58,62,62,63,61,66,70,75,98,103,105,115,138,152,254,285,411,623,963,1896,2159
50,66,61,52,55,54,54,53,53,54,55,54,56,57,57,59,60,61,65,66,68,77,127,97,111,115,134,157,243,313,493,593,941,1288,2225
50,60,53,53,52,54,54,53,54,58,53,53,54,58,57,61,59,62,62,68,71,74,124,106,119,115,138,162,279,307,514,657,957,1467,2573
53,56,55,53,55,54,53,54,53,54,53,54,55,56,56,60,61,60,65,64,71,77,104,99,104,114,139,153,232,304,459,649,893,1451,2413
49,56,57,52,54,53,52,54,57,54,54,54,54,61,58,60,60,64,63,65,68,75,104,102,123,112,139,168,226,324,473,643,951,1409,2897
52,56,55,53,54,53,54,54,53,54,54,54,54,56,57,57,60,63,62,65,70,75,125,99,115,117,137,154,228,327,387,632,1051,1918,2194
50,60,58,53,52,53,59,52,52,53,56,57,54,58,59,58,62,60,61,69,69,75,120,102,144,122,142,167,231,365,443,622,958,1435,2214
49,55,55,52,54,53,53,53,55,53,53,54,56,55,57,59,58,61,66,66,74,76,113,105,117,116,150,164,261,321,449,606,998,1480,2299
50,54,54,53,52,53,52,53,53,54,57,56,55,58,57,58,60,61,62,68,73,79,116,97,111,119,166,165,233,296,435,632,897,1485,2242
50,55,53,55,53,53,55,53,52,53,54,54,55,58,57,58,59,62,62,66,68,78,93,96,116,116,159,147,243,308,437,632,943,1256,2046
49,53,54,53,52,52,53,54,53,53,53,53,55,57,58,60,61,59,62,66,71,76,85,99,116,117,151,158,218,326,434,617,882,1415,2016
50,55,56,54,54,53,52,53,54,62,54,54,55,55,59,60,59,62,65,65,70,80,96,104,115,114,206,149,218,328,394,585,860,1498,2102
49,58,61,54,56,56,55,53,53,56,54,55,55,56,57,58,59,62,67,66,72,79,85,99,113,115,167,174,228,321,448,581,913,1297,2085
51,60,56,57,53,52,53,52,52,58,54,54,58,58,59,58,59,60,62,67,69,80,85,102,128,115,184,160,219,328,448,592,899,1483,2037
53,60,71,53,54,52,52,53,53,55,54,54,56,56,59,58,60,61,62,66,72,81,93,98,159,117,133,179,209,332,388,614,883,1488,2202
53,54,56,52,57,53,53,54,54,54,53,55,63,56,59,58,60,62,61,68,70,81,83,99,154,118,130,147,203,311,802,679,1067,1357,2301
57,73,56,52,52,53,54,53,53,53,54,55,55,58,59,58,64,60,62,65,68,77,86,97,133,120,127,151,229,313,577,656,953,1349,2277
59,55,57,53,53,56,52,53,56,53,54,59,55,56,57,61,60,60,61,65,79,76,94,100,151,116,128,163,215,294,489,600,1044,1818,2109
54,54,57,53,53,53,53,53,55,59,55,54,56,57,59,59,59,61,62,65,68,79,86,111,131,114,135,167,221,308,449,667,1014,1394,2041
53,53,63,59,57,53,53,53,53,54,53,55,54,59,57,57,61,63,63,64,74,82,88,101,151,117,139,162,233,303,452,676,943,1427,2228
64,55,54,53,54,51,53,52,52,53,54,55,55,56,57,58,60,61,63,65,70,79,90,101,110,117,132,158,217,331,469,644,971,1436,2113
54,56,52,52,54,53,54,57,52,54,53,53,58,55,57,59,60,63,62,67,68,83,85,102,106,114,129,182,241,325,401,643,999,1449,2221
57,56,54,54,54,52,55,53,52,55,57,53,56,56,58,59,60,62,62,68,69,84,86,101,107,115,135,159,221,301,481,571,1012,1563,2140
52,57,53,53,54,54,54,54,53,53,54,55,56,56,57,58,61,61,64,68,73,86,94,103,108,115,142,160,216,336,391,641,1054,1465,1985
51,60,53,52,54,55,52,53,53,52,54,58,54,58,57,59,60,60,62,65,70,85,83,99,104,115,128,158,209,292,453,716,978,1471,2160
51,61,54,54,54,55,53,53,54,57,54,54,56,62,56,58,62,61,63,65,73,83,85,98,112,114,131,171,221,309,393,753,1043,1635,1915
50,64,52,55,53,54,53,54,54,56,54,54,54,56,57,59,61,61,64,67,68,81,88,100,105,122,134,159,200,298,394,776,1049,1363,1988
51,55,55,53,52,52,53,52,54,54,54,54,55,63,58,59,60,60,61,67,68,81,87,98,107,134,134,166,199,307,430,720,1030,1444,2105
