50 Op,65125 Op,171054 Op,213197 Op,238381 Op,255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op,50 NoOp,65125 NoOp,171054 NoOp,213197 NoOp,238381 NoOp,255941 NoOp,269245 NoOp,279861 NoOp,288640 NoOp,296091 NoOp,302541 NoOp,308213 NoOp,313263 NoOp,317806 NoOp,321929 NoOp,325698 NoOp,329166 NoOp
0,6.66E-02,0.1720212,0.1973971,0.1680467,0.1502888,0.1666321,0.2207651,0.3388988,0.3245729,0.3314302,0.3382826,0.359742,0.3582283,0.3914634,0.3493972,0.3530347,0,0.1951706,2.3958429,2.2994606,2.6725669,2.629735,2.571926,2.6562441,2.5556216,2.8226899,2.6115501,2.5685237,2.6393404,2.5889789,2.5916645,2.6643128,2.8212949
0,8.35E-02,0.1691237,0.1499188,0.1667709,0.1514768,0.2338603,0.2988065,0.309799,0.2168216,0.3581971,0.3548425,0.3280593,0.3626992,0.3641882,0.3821044,0.3442005,0,0.1980493,2.2509358,2.4093,2.8668357,2.9212447,2.6590129,2.6627911,2.5968892,2.6172265,2.5173166,2.4673075,2.7883324,2.7765523,2.6053977,2.6381199,2.6796924
0,9.37E-02,0.1713645,0.1993459,0.1666411,0.1774394,0.1755326,0.2686186,0.2945972,0.347247,0.3371931,0.308082,0.3466631,0.3244588,0.3334311,0.3420882,0.3768547,0,0.1975365,2.5839455,2.3041117,3.2082937,2.6642017,2.6296006,2.7467605,2.6729761,2.5237692,2.6351104,2.6853467,2.591273,2.7732988,2.6665779,2.6115995,2.7185739
0,6.57E-02,0.1882236,0.1602073,0.1654704,0.158028,0.2624704,0.2776366,0.2893296,0.3605505,0.3409981,0.3504495,0.3594693,0.3429888,0.3870109,0.3443893,0.3627765,0,0.1987546,2.4444163,2.3337104,2.7181606,2.7898327,2.6192262,2.6797169,2.6901159,2.4170432,2.7339071,2.6276746,2.5822149,2.5237605,2.6179265,2.7968076,5.0428255
0,6.19E-02,0.1996012,0.1626314,0.1626628,0.1822201,0.2639991,0.3000917,0.2738425,0.3520025,0.3351892,0.3664503,0.352852,0.3351229,0.3655881,0.3509474,0.3407926,0,0.1953834,2.329843,2.3680735,2.6098027,2.7826021,2.6650325,2.6838179,2.6724682,2.6800837,2.5764495,2.8755298,2.6363994,2.6345986,2.8669077,2.6265899,2.6737455
0,6.67E-02,0.1655489,0.1702778,0.1630235,0.1649861,0.197125,0.2745749,0.2925405,0.3515331,0.352019,0.3570692,0.3398339,0.35869,0.3252123,0.3330665,0.3499623,0,0.1965268,2.3931255,2.3532897,2.7219865,2.7220649,2.611245,2.6724124,2.9867115,2.5676456,2.669819,2.6639596,2.7646439,2.69351,2.5839897,2.6054214,2.5754824
0,6.74E-02,0.1835681,0.1509671,0.1740293,0.1794332,0.2413786,0.2730992,0.3232345,0.3150888,0.3394016,0.3296688,0.3507173,0.3463076,0.355299,0.3408339,0.3466153,0,0.1077326,2.3633728,2.4117064,2.6859027,2.5910432,2.6563382,2.8545821,2.9025624,2.6900803,2.6522675,2.7893499,2.7560648,2.5337218,2.6539118,2.6865816,2.669952
0,6.53E-02,0.1726007,0.1849844,0.1664513,0.1658789,0.169021,0.2523055,0.381782,0.3475467,0.3537674,0.3531737,0.3453666,0.3463395,0.3603909,0.3282933,0.3789526,0,0.1946421,2.3935669,2.3424653,2.7326454,2.7552216,2.7448601,2.700266,2.4277021,2.695787,2.6706784,2.8036224,2.6354551,2.5603425,2.653307,2.597321,2.772793
0,7.03E-02,0.1816775,0.1731337,0.166245,0.1572027,0.2535702,0.2195006,0.3481558,0.1847543,0.3460328,0.3866423,0.3448152,0.362886,0.3756546,0.3470825,0.3225228,0,0.1940673,2.4490679,2.4146169,2.6454105,2.6860018,2.6354683,2.6272389,2.9855558,2.7393218,2.6701486,2.5898227,2.5578067,2.7114439,2.6912189,2.6406985,3.1666163
0,6.35E-02,0.1718162,0.1712828,0.1517878,0.1793963,0.2412178,0.239491,0.2804471,0.3653386,0.332304,0.3522649,0.3553336,0.3226739,0.3288162,0.3504621,0.326606,0,0.1966322,2.511196,2.4220391,2.6483912,2.5142307,2.7557753,2.7022679,2.9229437,2.618861,2.6849288,2.7360872,2.55643,2.5960726,2.7963565,2.7356317,2.7032599
