255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op
0.1511315,0.1652772,0.2340421,0.2974377,0.3171397,0.323045,0.2291623,0.3328968,0.3560698,0.3665567,0.3314243,0.3622085
0.1683701,0.2133012,0.2655955,0.2707621,0.3327606,0.3530759,0.3273353,0.3611977,0.3264942,0.3308357,0.337758,0.3243707
0.1683055,0.2050883,0.2543812,0.2922215,0.344909,0.3463681,0.3634736,0.3688204,0.3098741,0.3511883,0.3692135,0.3852413
0.1711205,0.183938,0.2478901,0.3262913,0.3264941,0.2501118,0.3549047,0.3844602,0.3208276,0.3229818,0.3365691,0.350238
0.1949251,0.190582,0.2669337,0.2915422,0.3289701,0.3293806,0.265619,0.3300142,0.3331808,0.3257144,0.3063392,0.381024
0.2115378,0.2581775,0.2458562,0.3314808,0.3422098,0.3300369,0.3528505,0.3610435,0.361622,0.3587038,0.3279941,0.3294772
0.1804915,0.2248989,0.2924594,0.3131071,0.2920838,0.3123218,0.3377875,0.3450482,0.3599642,0.3486098,0.3478318,0.3516772
0.169308,0.1785037,0.2798723,0.3283801,0.3282327,0.363154,0.3335689,0.3164424,0.3549088,0.3492456,0.3508574,0.3628325
0.17854,0.1708389,0.2098093,0.3205092,0.2728817,0.3468306,0.2640327,0.3515791,0.3464329,0.3582511,0.362519,0.3583856
0.1667188,0.2073765,0.2523346,0.3306008,0.3364348,0.3583313,0.3307015,0.3517588,0.3742417,0.3225312,0.3713046,0.3675217
0.1752177,0.1851975,0.264239,0.3178295,0.3430681,0.3502201,0.3608174,0.3565005,0.3311715,0.3862844,0.3387731,0.4180647
0.1969281,0.1779893,0.2869476,0.3234588,0.325198,0.3483476,0.3446342,0.3615296,0.340702,0.3640317,0.3578103,0.2795719
0.1830809,0.1975975,0.2892012,0.3104357,0.3434202,0.3297405,0.3607111,0.3374437,0.3687445,0.3440347,0.3134393,0.3738452
0.1745396,0.1923534,0.2974486,0.292836,0.3409195,0.3305255,0.3393635,0.3604067,0.3557259,0.3428629,0.3418781,0.3299647
0.1884803,0.2452864,0.2488398,0.2733524,0.3467536,0.3591909,0.3469626,0.3448855,0.3483878,0.3373684,0.3937938,0.34249
0.1936015,0.1886074,0.2468743,0.3124534,0.3236118,0.3240209,0.3513877,0.3591063,0.3402713,0.3589532,0.3529036,0.3511073
0.1708422,0.1735913,0.2672379,0.3305713,0.3293824,0.3563688,0.2266337,0.370437,0.3760451,0.3492385,0.3544986,0.350339
0.1799073,0.1786938,0.2608662,0.2651989,0.3216023,0.352519,0.3711789,0.3203101,0.2924977,0.3868716,0.3295498,0.3572793
0.1670631,0.2196674,0.2157992,0.3190036,0.3300636,0.3619515,0.3418685,0.3620526,0.3441049,0.3279302,0.3336652,0.3529696
0.2051182,0.269803,0.2836378,0.3250568,0.3146528,0.3448406,0.3601135,0.3495054,0.3485448,0.3519635,0.3369116,0.3615153
0.1667778,0.2712224,0.2313699,0.3140514,0.3306153,0.3504461,0.3316691,0.3268821,0.3244633,0.3561167,0.331368,0.3225372
0.161022,0.1858819,0.2510862,0.2601781,0.1821946,0.3570039,0.3350035,0.355238,0.3532004,0.3410746,0.3375911,0.3363965
0.1798279,0.1988875,0.1842461,0.3407341,0.3301049,0.3263794,0.3702158,0.3335706,0.3602283,0.3535316,0.3327151,0.3298552
0.2483025,0.2003549,0.2300122,0.2949568,0.1819256,0.1997356,0.3472814,0.3440454,0.3554723,0.3525891,0.3244326,0.3602345
0.1573936,0.1815393,0.2679381,0.3039333,0.3133665,0.3264117,0.2632073,0.3398784,0.3327193,0.3274762,0.3380886,0.3759932
0.1550305,0.2124139,0.2878225,0.1843002,0.3431887,0.3492104,0.3779302,0.3419852,0.3574489,0.3530317,0.3427225,0.3604121
0.1595237,0.2729781,0.2562941,0.3076787,0.3417042,0.3312792,0.3475801,0.3314501,0.3470121,0.3625952,0.3295712,0.3274913
0.1787224,0.1765637,0.255053,0.2789112,0.3353217,0.3574563,0.3556077,0.3575525,0.3509163,0.3319649,0.3760515,0.3601471
0.1621329,0.1689103,0.2780906,0.3380221,0.2574764,0.3571862,0.3224705,0.3356079,0.3252505,0.3775577,0.3276589,0.3490768
0.1637663,0.1687792,0.304474,0.3294858,0.3176495,0.3568887,0.3417902,0.3517865,0.348293,0.3563111,0.3424945,0.3208227
0.1737141,0.1804554,0.2530769,0.2380896,0.3042101,0.3188812,0.3608095,0.3210705,0.3344193,0.3533237,0.33579,0.3704373
0.1665171,0.1805668,0.2596131,0.3342053,0.3040638,0.3456865,0.3262234,0.318042,0.3280175,0.3407792,0.3253817,0.3283937
0.1569135,0.2120276,0.2311178,0.2938093,0.3251362,0.3599656,0.3308886,0.3453719,0.3769237,0.3458411,0.3432781,0.3223481
0.1842787,0.2154741,0.2406676,0.2544208,0.347823,0.348546,0.3724279,0.3523843,0.3673833,0.3454704,0.3304572,0.355242
0.2196625,0.1774703,0.3137713,0.2983992,0.3369647,0.3230103,0.3303808,0.3398922,0.3473144,0.3519027,0.3650596,0.3771056
0.1808828,0.272128,0.253686,0.3307214,0.3328726,0.3452574,0.3340077,0.3433349,0.349576,0.3370257,0.3861711,0.3544264
0.1523474,0.2262546,0.2352529,0.3225744,0.1881628,0.3586824,0.3528323,0.355276,0.3352011,0.356854,0.3385583,0.3516869
0.184323,0.2190183,0.2241113,0.281208,0.3284417,0.3424446,0.3255931,0.3670014,0.3743251,0.337544,0.3236732,0.3264508
0.2100192,0.1814655,0.2010908,0.2843963,0.3083959,0.3470448,0.2373684,0.3410494,0.3543887,0.3510991,0.3555489,0.3462115
0.1738837,0.1801781,0.2942309,0.3109968,0.3302215,0.358539,0.3406145,0.3399629,0.3464833,0.353269,0.357924,0.3242873
1817,2170,2122,1858,2217,2297,2161,2386,2375,2112,2519,2189
1805,2087,1800,2087,2260,1980,2339,2396,2523,2418,2532,2594
1960,2135,2028,2073,2236,2287,2039,2391,2325,2081,2104,2173
1855,2178,2070,1865,2287,2174,2260,2023,2572,2343,2530,2462
1978,2142,1733,2172,1872,2314,2311,2047,2043,2446,2408,2124
2021,1869,2064,2182,2202,2267,2381,2389,2488,2440,2436,2571
1628,2154,2159,2167,2178,2289,2369,2364,2056,2078,2044,2144
1629,1870,2197,2108,2211,2293,2377,2390,2502,2402,2471,2144
1745,2012,1892,2173,1825,2323,2175,2420,2434,2439,2173,2475
