50 Op,65125 Op,171054 Op,213197 Op,238381 Op,255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op,50 NoOp,65125 NoOp,171054 NoOp,213197 NoOp,238381 NoOp,255941 NoOp,269245 NoOp,279861 NoOp,288640 NoOp,296091 NoOp,302541 NoOp,308213 NoOp,313263 NoOp,317806 NoOp,321929 NoOp,325698 NoOp,329166 NoOp
0,5.87E-02,0.2262413,0.1832623,0.1609092,0.1653578,0.1977054,0.227087,0.2747605,0.3323898,0.3571808,0.3605195,0.3502075,0.2869847,0.3309323,0.350829,0.3603042,0,0.2119032,2.3305413,2.4067202,2.2964474,2.7586183,2.4518068,2.6417591,2.8052062,2.8885466,2.5697413,2.9433558,2.7974781,2.4378552,2.5603872,2.6898208,2.6428485
0,6.46E-02,0.2255096,0.1653727,0.1724307,0.1680751,0.227481,0.2758564,0.2984751,0.3660182,0.3490669,0.3521834,0.3527257,0.3718801,0.3525345,0.346288,0.4225775,0,0.2058891,2.3777887,2.3387819,2.373374,2.7035543,2.768915,2.7609007,2.8819449,2.657073,2.7511206,2.5255303,2.8237647,2.7061798,2.665069,2.6529141,2.8431848
0,3.96E-02,0.1479677,0.1865533,0.153267,0.169643,0.2367853,0.1831186,0.3036655,0.3446956,0.3522974,0.3570707,0.3249654,0.3314053,0.3577391,0.339954,0.4142019,0,0.2012277,2.4064317,2.391047,2.7029027,3.4497741,2.6671315,2.6403829,2.6733677,2.6781507,2.6504387,2.6186549,2.5650538,2.7542218,2.8588219,2.6939566,2.6677447
0,6.09E-02,0.1558088,0.17443,0.1754753,0.1645149,0.1781635,0.2747698,0.2828304,0.3610097,0.3353244,0.3530592,0.3423217,0.3572967,0.3248825,0.3581295,0.399058,0,0.2125547,2.3841606,2.3604328,2.7152173,2.8238879,2.7662165,2.6175932,2.5570677,2.6647608,2.6319581,2.8306156,2.6389428,2.7170769,2.715516,2.7037933,2.7172772
0,7.36E-02,0.1635711,0.2406117,0.1845205,0.1710824,0.1686857,0.2388197,0.2512934,0.177598,0.3560686,0.336841,0.3244241,0.3547747,0.3218067,0.3513515,0.3625229,0,0.2191643,2.3334246,2.3467649,2.7184188,2.7631127,2.8206672,2.6644038,2.6561931,2.7323928,2.8418323,2.5771333,2.7496965,2.9008644,2.6435863,2.7462068,2.6616192
0,5.77E-02,0.2433679,0.1614541,0.1753192,0.1848041,0.1760584,0.3146716,0.3202511,0.3480897,0.3360423,0.346294,0.3670588,0.3506448,0.3332902,0.3603118,0.3596039,0,0.2195492,2.3677903,2.3466023,2.603688,2.6723009,2.6234346,2.6617852,2.5370852,2.6455991,2.6576019,2.7439027,2.6562565,2.5517106,2.6065654,2.658012,2.7770968
0,7.88E-02,0.1864734,0.1635304,0.2411008,0.1560043,0.1813062,0.3180345,0.258958,0.1808431,0.3248375,0.3425427,0.3190143,0.3881496,0.3769067,0.3657124,0.3723861,0,0.202024,2.3119093,2.3817701,2.7821426,2.6336068,2.7621892,2.5867263,2.7324491,2.4405741,3.0528908,2.9677377,2.8660605,2.6392021,2.5872929,2.6072775,2.7204628
0,6.72E-02,0.1612478,0.1647728,0.1860318,0.1835934,0.2118646,0.2345716,0.3451308,0.3482112,0.351423,0.3561063,0.3477091,0.3575817,0.3306601,0.3534823,0.3379045,0,0.2167944,2.3090738,2.3771086,2.593014,2.6736443,2.6412697,2.4773134,2.6478787,2.6653084,2.9022638,2.6069559,2.7591649,2.7706303,2.6396106,2.6138952,2.7120932
0,7.53E-02,0.1770672,0.1657419,0.1766691,0.1795756,0.1806974,0.2859832,0.2714586,0.3544663,0.3436936,0.3601505,0.329881,0.3155495,0.3571552,0.3211924,0.3707519,0,0.2050252,2.332952,2.3431531,2.6129531,2.7276138,2.7534018,2.6376292,2.7539397,2.6935375,3.0623615,2.6200936,2.6291047,2.3423214,2.4313108,2.6712178,2.7051978
0,6.69E-02,0.1678176,0.2053212,0.1710716,0.1733413,0.1869861,0.1838749,0.1919682,0.3385378,0.3436325,0.351465,0.3747952,0.3279121,0.372864,0.3628884,0.3665095,0,0.2040697,2.3653042,2.370719,2.562662,2.7713773,2.601516,2.7087393,2.8622754,2.6928274,2.9865177,2.6884332,2.6466783,3.0265811,2.6079406,2.615571,2.6221169
