50 Op,65125 Op,171054 Op,213197 Op,238381 Op,255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op,50 NoOp,65125 NoOp,171054 NoOp,213197 NoOp,238381 NoOp,255941 NoOp,269245 NoOp,279861 NoOp,288640 NoOp,296091 NoOp,302541 NoOp,308213 NoOp,313263 NoOp,317806 NoOp,321929 NoOp,325698 NoOp,329166 NoOp
60,260,1192,1609,1727,2164,2084,2260,2459,2614,2552,2797,2611,2781,2667,1758,2728,62,977,4922,5469,6012,6336,6372,6260,6759,6683,6996,7286,7251,7660,7111,7282,7759
0,6.29E-02,0.1763391,0.1756756,0.1873315,0.1756822,0.1662148,0.2482581,0.3159933,0.344157,0.3731443,0.3326417,0.3521271,0.3391349,0.3826341,0.403591,0.3393028,0,0.2051416,2.4563594,2.3889531,2.7890688,2.5637818,2.903247,2.7429023,2.8266061,2.8916489,2.8529972,2.6919434,2.6220696,2.6775039,2.7028119,2.7914005,2.7346388
0,6.18E-02,0.1681701,0.2085733,0.1845975,0.1929418,0.175014,0.2434257,0.2342453,0.3420013,0.3513301,0.3681085,0.3549624,0.3869477,0.3779633,0.3652137,0.3731994,0,0.1974298,2.170917,2.360879,2.5620578,2.6104624,2.8088843,2.6995162,2.6767858,2.696762,2.6876183,2.7785927,2.5824913,3.072553,2.8103703,3.0912441,2.9114025
0,6.15E-02,0.1673516,0.1872962,0.1837012,0.1859124,0.1912253,0.2553713,0.2820436,0.3426801,0.3331495,0.3616957,0.3649351,0.3799918,0.3436326,0.3522135,0.3850057,0,0.2036554,2.4916616,2.415476,2.6451536,2.8247057,2.5715438,2.7356239,2.8330551,2.9410206,2.6735293,2.7524201,2.7880253,2.6788804,2.7368363,2.8946489,2.9329183
0,6.19E-02,0.1892084,0.1684117,0.1742729,0.1862807,0.2396478,0.2120978,0.3065007,0.3508445,0.3534141,0.3365996,0.2816676,0.3761735,0.3521126,0.3562489,0.3677871,0,0.2114558,2.4823191,2.4160807,2.6868144,2.6669349,2.684361,2.7699336,2.8317604,2.7178065,2.7269929,2.7842544,2.802345,2.5984653,2.9197457,2.7034868,3.1794675
0,6.78E-02,0.1503624,0.1579464,0.1716936,0.1808614,0.2153012,0.2217641,0.1853508,0.3223632,0.3636133,0.3969903,0.3818631,0.3608663,0.3638462,0.3518401,0.3577123,0,0.2016346,2.6800452,2.4097847,2.5636135,2.8377126,2.8066042,2.4739888,2.6600724,2.9175342,2.8567033,2.9003404,2.8554028,2.7956014,2.7569338,2.7188594,2.7637652
89,216,1226,1324,1703,1950,1828,2235,2099,2432,2002,2488,2732,2699,2351,2628,2604,65,1007,4713,5198,5971,6005,6935,6568,6995,6933,6861,6854,6796,7089,7694,7464,7190
61,215,1225,1652,1377,1841,1797,2189,2323,2448,2462,2504,2723,2465,2261,2476,2190,62,946,4376,5087,5660,6128,6646,6684,6626,6836,6824,6885,6895,7653,7675,7795,8067
62,207,1260,1467,1338,1552,1998,2256,2415,2345,2504,2516,2250,2369,2620,2490,2517,63,939,4841,5173,5842,6287,6204,6487,6879,7275,7187,7126,7429,7128,7306,7476,7579
61,210,985,1589,1634,1669,2152,2210,2390,1966,2284,2183,2463,2287,2666,2567,2187,69,930,4896,5130,5968,6317,6483,6444,6747,6916,7030,7121,7253,7072,7549,7387,7180
