Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Testn/50,7.246306622785289e-6,7.027718358285036e-6,7.778293049023621e-6,1.0092025193708265e-6,4.997696172035631e-7,1.8486038025170658e-6
Testn/3065,3.8184767680069274e-4,3.7527896943826615e-4,3.9098723841847846e-4,2.625612178595019e-5,1.8285274460034752e-5,4.2593340285108776e-5
Testn/13327,1.6371499336877212e-3,1.6127348159399404e-3,1.663942076148039e-3,8.744285413615636e-5,7.198483707732474e-5,1.2072150844888487e-4
Testn/19283,2.3971701072404935e-3,2.359728247725418e-3,2.442616043604607e-3,1.4185124605323816e-4,1.1235080517439007e-4,1.7908312943344505e-4
Testn/23361,2.9983766160147553e-3,2.8500789396076805e-3,3.3500113108303363e-3,7.447605124822408e-4,2.9459683454677375e-4,1.292987060156156e-3
Testn/26409,3.1710319764884725e-3,3.122217701876844e-3,3.2228367113819345e-3,1.6463364526875555e-4,1.2989548237323762e-4,2.547127098173363e-4
Testn/28816,3.2984278097897258e-3,3.2526795466138706e-3,3.3354048488837772e-3,1.3717001471863486e-4,1.139486787962602e-4,1.6058074021538512e-4
Testn/30791,3.5666348920447245e-3,3.521760671180133e-3,3.6211431727373833e-3,1.580385413609475e-4,1.281949267603725e-4,1.971224571482443e-4
Testn/32455,3.974770182604779e-3,3.912068170556289e-3,4.026051194612931e-3,1.7751944036977508e-4,1.3710254751984321e-4,2.386695028865732e-4
Testn/33887,4.137706210104337e-3,4.082961344016813e-3,4.183395246394843e-3,1.6270190543665449e-4,1.3503842173889094e-4,2.17695055227593e-4
Testn/35140,4.069746719373329e-3,4.017233210989549e-3,4.1390904669388025e-3,1.7620529368196666e-4,1.3669324200208782e-4,2.6333159130998373e-4
Testn/36250,4.220103756026247e-3,4.16625263529238e-3,4.283456250976963e-3,1.8616517863221074e-4,1.52877485668746e-4,2.2929813435608286e-4
Testn/37245,4.446745322304829e-3,4.365247552379555e-3,4.509879694494873e-3,2.182682935986001e-4,1.744837509909046e-4,2.6918717205363804e-4
Testn/38145,4.697295356929098e-3,4.630308954453229e-3,4.779816692371899e-3,2.3306497286191367e-4,1.893521961127045e-4,3.0648109325181116e-4
Testn/38965,4.788302005448493e-3,4.710003803991499e-3,4.935154042143493e-3,3.4473116872518284e-4,1.8704417361916327e-4,6.272346217416035e-4
Testn/39716,4.633980925809574e-3,4.554633106067473e-3,4.715838943607017e-3,2.3627042866960745e-4,2.0018650649092929e-4,2.849021087668832e-4
Testn/40410,4.801692915831811e-3,4.736601786912921e-3,4.885687801915956e-3,2.2666308798339433e-4,1.687594246714258e-4,3.5042729048727795e-4
Testn/41053,4.87363980300129e-3,4.775773412377818e-3,4.968887147538813e-3,2.9415774270466857e-4,2.4241687608573327e-4,3.647265628881097e-4
Testn/41652,5.081084551398858e-3,4.990866854503365e-3,5.163054779890472e-3,2.730441981859214e-4,2.2193961503354863e-4,3.3139844337542746e-4
Testn/42212,5.240087795990009e-3,5.159885989926732e-3,5.346272397565518e-3,2.6596317177094466e-4,1.8970866172379953e-4,3.4994085381820264e-4
Testn/42738,5.067583818524642e-3,4.997192520183265e-3,5.145623511617592e-3,2.171471235047051e-4,1.8550212123264544e-4,2.561602681730397e-4
Testn/43233,5.230692360326898e-3,5.153819657230056e-3,5.34343128075023e-3,2.8133954965597294e-4,2.088622337126959e-4,4.7036999777485834e-4
Testn/43700,5.523927480804384e-3,5.368072470731104e-3,5.764145850190863e-3,5.933983842383377e-4,3.62242387262141e-4,9.857517406724134e-4
Testn/44142,5.230087344509192e-3,5.157974616561848e-3,5.325464074356379e-3,2.3954484338280005e-4,1.86073422928702e-4,3.75809691729432e-4
Testn/44562,5.423750859451442e-3,5.343691775854182e-3,5.512806036657126e-3,2.7077559460483895e-4,2.063302581861969e-4,3.8775509889750405e-4
Testn/44961,5.5773261633414745e-3,5.435188521059583e-3,5.843790283044211e-3,5.810175639765261e-4,3.4073438508028047e-4,9.9502110424919e-4
Testn/45341,5.461973741655629e-3,5.3873510041441116e-3,5.523071462039651e-3,2.0467076352872836e-4,1.629812712196903e-4,2.8800985520630376e-4
Testn/45704,5.762076657025663e-3,5.6316782830495085e-3,5.979150608643858e-3,5.192133574947789e-4,3.514287612741288e-4,8.535236054774157e-4
Testn/46051,5.922660962097894e-3,5.746155488136118e-3,6.222523503281814e-3,7.04944972122672e-4,5.053653892578151e-4,1.0140873264771289e-3
Testn/46384,5.531279390385274e-3,5.463793573561241e-3,5.591318270261103e-3,1.9307183003948098e-4,1.5133669251600902e-4,2.567912630591188e-4
Testn/46703,5.5355340142774195e-3,5.474524382757798e-3,5.6172642984313416e-3,2.163331074800413e-4,1.7805754364822864e-4,2.8817586350854646e-4
Testn/47009,5.753085116832459e-3,5.65909426959558e-3,5.932255784237154e-3,4.0133716290143066e-4,2.0435736855795071e-4,6.344517088870363e-4
Testn/47304,5.623567450217735e-3,5.559545219602801e-3,5.72359440189262e-3,2.513748304326159e-4,1.8497331575955984e-4,3.970118570417155e-4
Testn/47588,6.331992478672854e-3,6.0975386836119696e-3,6.633298538881193e-3,8.10177133542468e-4,6.136723691115924e-4,1.0682257448760696e-3
