Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Testn/50,6.594063058696001e-7,6.486448653118182e-7,6.723885702907684e-7,4.1157225537808043e-8,3.309555416647589e-8,5.217604804932009e-8
Testn/3065,3.910831072573351e-5,3.846343260542907e-5,3.978306169758214e-5,2.2767027124052725e-6,1.814292933814133e-6,3.2485520567961354e-6
Testn/13327,1.7020276013138383e-4,1.6757600134128953e-4,1.7278664479537952e-4,8.667981330810576e-6,7.193024187382863e-6,1.0713847003434084e-5
Testn/19283,2.4249777801948179e-4,2.3933416124419322e-4,2.4630870117209525e-4,1.1205200254636817e-5,8.71840963574323e-6,1.5022646701354563e-5
Testn/23361,2.9000791609040227e-4,2.8577402027705324e-4,2.9537914099409077e-4,1.649659287835953e-5,1.2960256155285217e-5,2.4444865223111868e-5
Testn/26409,3.311722664302363e-4,3.257765578893514e-4,3.3731612506132273e-4,1.928086718071275e-5,1.5395012677658132e-5,2.4045549577641013e-5
Testn/28816,3.729151381042124e-4,3.6675902663774705e-4,3.869828071431338e-4,2.841426365224637e-5,1.4322644870129599e-5,4.7610602659776805e-5
Testn/30791,3.9620033539971753e-4,3.9131586692963576e-4,4.0181411501191407e-4,1.76377578967869e-5,1.399760506816888e-5,2.2602953360556835e-5
Testn/32455,4.226481508039137e-4,4.171226583391743e-4,4.290568037453637e-4,2.017193334563381e-5,1.7647732488392216e-5,2.3520933916045127e-5
Testn/33887,4.2408933921973943e-4,4.190562607786338e-4,4.2903226106708953e-4,1.7315272472695566e-5,1.4289455197861802e-5,2.0683743572128456e-5
Testn/35140,4.429004865465934e-4,4.374635041121256e-4,4.5003594174626143e-4,2.0276129043449646e-5,1.626305894288761e-5,2.5878393418466447e-5
Testn/36250,4.590316144316548e-4,4.527206251022332e-4,4.655281278007908e-4,2.1901604230746298e-5,1.7530325646676647e-5,2.7807377028704054e-5
Testn/37245,4.8029055789506844e-4,4.739609819183424e-4,4.8613226945742714e-4,2.079177746571798e-5,1.653975954808168e-5,2.7718519023581225e-5
Testn/38145,4.874823322168698e-4,4.8295608686772296e-4,4.91967736838939e-4,1.557292442369072e-5,1.3076446356734028e-5,1.8871489252027976e-5
Testn/38965,5.000272704045213e-4,4.929167120025323e-4,5.072976734808665e-4,2.3522261781427413e-5,1.9797954540179426e-5,2.9018736830775663e-5
Testn/39716,5.081998799680901e-4,4.997780620835808e-4,5.155278488841303e-4,2.6679344697342673e-5,2.124952170198229e-5,3.345534714499923e-5
