Pair2,Pair3,Pair4,Pair5
555765000,5.64E+08,4.59E+08,4.36E+09
436782000,4.59E+08,4.43E+08,3.43E+09
422597000,4.33E+08,4.63E+08,3.32E+09
429383000,439505000,448935000,3313901000
428333000,450781000,490647000,3286990000
430848000,425734000,452179000,3356032000
421636000,440682000,467943000,3311595000
432978000,455511000,453948000,3292080000
429342000,436938000,444141000,3310705000
463557000,444366000,462342000,3300930000
447508000,570340000,594959000,3323135000
432429000,455382000,477266000,3341067000
444075000,425971000,449920000,3297012000
438733000,430306000,444991000,3351119000
449379000,423805000,469041000,3329295000
484718000,425738000,481535000,3346794000
534032000,436858000,453878000,3312012000
428995000,434801000,470277000,3304182000
423494000,431678000,468404000,3612853000
424299000,436131000,485653000,3468908000
